1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
1330	n-f	beth-oo-law'	bᵉthûwlâh	heb	- בְּתוּלָה	feminine passive participle of an unused root ◊meaning to separate;		◊meaning:	- a	- def: virgin	- (from her privacy); sometimes (by continuation) a	- def: bride	- ; also (figuratively) a city or state	usage: maid, virgin.																																				
1331	n-f	beth-oo-leem'	bᵉthûwlîym	heb	- בְּתוּלִים	- masculine plural of the same as	  - '@src': H1330	  - '1330'	- ;	◊meaning:	- (collectively and abstractly)	- def: virginity	- ; by implication and concretely, the	- def: tokens	- of it	usage: × maid, virginity.																																		
1332	n-pr-f	bith-yaw'	Bithyâh	x-pn	- בִּתְיָה	- from	  - '@src': H1323	  - '1323'	- and	- w:	  - '@src': H3050	  - '3050'	- ; daughter (i.e. worshipper) of Jah;	◊meaning:	- def: Bithjah	- ', an Egyptian woman'	usage: Bithiah.																																	
1333	v	baw-thak'	bâthaq	heb	- בָּתַק	a primitive root;		◊meaning:	- to	- def: cut in pieces	usage: thrust through.																																							
1334	v	baw-thar'	bâthar	heb	- בָּתַר	a primitive root,		◊meaning:	- to	- def: chop up	usage: divide.																																							
1335	n-m	beh'-ther	bether	heb	- בֶּתֶר	- from	  - '@src': H1334	  - '1334'	- ;	◊meaning:	- a	- def: section	usage: part, piece.																																					
1336	n-pr-m	beh'-ther	Bether	x-pn	- בֶּתֶר	- the same as	  - '@src': H1335	  - '1335'	- ;	◊meaning:	- def: Bether	- ', a (craggy) place in Palestine'	usage: Bether.																																					
1337	n-pr-loc	bath rab-beem'	Bath Rabbîym	heb	- בַּת רַבִּים	- from	  - '@src': H1323	  - '1323'	- and a masculine plural from	- w:	  - '@src': H7227	  - '7227'	- ;	◊meaning:	- the	- def: daughter	- (i.e. city)	- def: of Rabbah	usage: Bath-rabbim.																															
1338	n-pr-loc	bith-rone'	Bithrôwn	x-pn	- בִּתְרוֹן	- from	  - '@src': H1334	  - '1334'	- ; (with the article) the craggy spot;	◊meaning:	- def: Bithron	- ', a place East of the Jordan'	usage: Bithron.																																					
1339	n-pr-f	bath-sheh'-bah	Bath-Shebaʻ	x-pn	- בַּת־שֶׁבַע	- from	  - '@src': H1323	  - '1323'	- and	- w:	  - '@src': H7651	  - '7651'	- (in the sense of	- w:	  - '@src': H7650	  - '7650'	- ); daughter of an oath;	◊meaning:	- def: Bath-Sheba	- ', the mother of Solomon'	usage: Bath-sheba.																													
1340	n-pr-f	bath-shoo'-ah	Bath-Shûwaʻ	x-pn	- בַּת־שׁוּעַ	- from	  - '@src': H1323	  - '1323'	- and	- w:	  - '@src': H7771	  - '7771'	- ; daughter of wealth; the same as	- w:	  - '@src': H1339	  - '1339'	◊meaning:	- def: Bath-shua	- ','	usage: Bath-shua.																														
1341	a	gay'	gêʼ	heb	- גֵּא	- for	  - '@src': H1343	  - '1343'	- ;	◊meaning:	  def: haughty	usage: proud.																																						
1342	v	gaw-aw'	gâʼâh	heb	- גָּאָה	a primitive root;		◊meaning:	- to	- def: mount	- up; hence, in general, to	- def: rise	- ', (figuratively) be'	- def: majestic	usage: gloriously, grow up, increase, be risen, triumph.																																			
1343	a	gay-eh'	gêʼeh	heb	- גֵּאֶה	- from	  - '@src': H1342	  - '1342'	- ;	◊meaning:	- def: lofty	- ; figuratively,	- def: arrogant	usage: proud.																																				
1344	n-f	gay-aw'	gêʼâh	heb	- גֵּאָה	- feminine from	  - '@src': H1342	  - '1342'	- ;	◊meaning:	  def: arrogance	usage: pride.																																						
1345	n-pr-m	gheh-oo-ale'	Gᵉʼûwʼêl	x-pn	- גְּאוּאֵל	- from	  - '@src': H1342	  - '1342'	- and	- w:	  - '@src': H410	  - '410'	- ; majesty of God;	◊meaning:	- def: Geuel	- ', an Israelite'	usage: Geuel.																																	
1346	n-f	gah-av-aw'	gaʼăvâh	heb	- גַּאֲוָה	note: xlit gaʻăvâh corrected to gaʼăvâh		source:	- from	- w:	  - '@src': H1342	  - '1342'	- ;	◊meaning:	- def: arrogance	- or	- def: majesty	- ; by implication, (concretely)	- def: ornament	usage: excellency, haughtiness, highness, pride, proudly, swelling.																														
1347	n-m	gaw-ohn'	gâʼôwn	heb	- גָּאוֹן	- from	  - '@src': H1342	  - '1342'	- ;	◊meaning:	- the same as	- w:	  - '@src': H1346	  - '1346'	usage: arrogancy, excellency(-lent), majesty, pomp, pride, proud, swelling.																																			
1348	n-f	gay-ooth'	gêʼûwth	heb	- גֵּאוּת	- from	  - '@src': H1342	  - '1342'	- ;	◊meaning:	- the same as	- w:	  - '@src': H1346	  - '1346'	usage: excellent things, lifting up, majesty, pride, proudly, raging.																																			
1349	a	gah-ah-yone'	gaʼăyôwn	heb	- גַּאֲיוֹן	- from	  - '@src': H1342	  - '1342'	- ;	◊meaning:	  def: haughty	usage: proud.																																						
1350	v	gaw-al'	gâʼal	heb	- גָּאַל	a primitive root,		◊meaning:	- to	- def: redeem	- (according to the Oriental law of kinship), i.e. to	- def: be the next of kin	- (and as such to	- def: buy back	- a relative's property,	- def: marry	- his widow, etc.)	usage: × in any wise, × at all, avenger, deliver, (do, perform the part of near,	  next) kinsfolk(-man), purchase, ransom, redeem(-er), revenger.																															
1351	v	gaw-al'	gâʼal	heb	- גָּאַל	- a primitive root, (rather identified with	  - '@src': H1350	  - '1350'	- ', through the idea of'	- def: freeing	- ', i.e.'	- def: repudiating	- );	◊meaning:	- to	- def: soil	- or (figuratively)	- def: desecrate	usage: defile, pollute, stain.																															
1352	n-m	go'-el	gôʼel	heb	- גֹּאֶל	- from	  - '@src': H1351	  - '1351'	- ;	◊meaning:	  def: profanation	usage: defile.																																						
1353	n-f	gheh-ool-law'	gᵉʼullâh	heb	- גְּאֻלָּה	note: xlit gᵉullâh corrected to gᵉʼullâh		source:	- feminine passive participle of	- w:	  - '@src': H1350	  - '1350'	- ;	◊meaning:	- def: redemption	- (including the right and the object); by implication,	- def: relationship	usage: kindred, redeem, redemption, right.																																
1354	n	gab	gab	heb	- גַב	- from an unused root ◊meaning to hollow or curve; (compare	  - '@src': H1460	  - '1460'	- and	- w:	  - '@src': H1479	  - '1479'	- )	◊meaning:	- the	- def: back	- (as rounded); by analogy, the	- def: top	- or	- def: rim	- ', a'	- def: boss	- ', a'	- def: vault	- ','	- def: arch of eye	- ','	- def: bulwarks	- ', etc.'	usage: back, body, boss, eminent (higher) place, (eye) brows, nave, ring.																				
1355	n-m	gab	gab	arc	- גַּב	- (Aramaic) corresponding to	  - '@src': H1354	  - '1354'	usage: back.																																									
1356	n-m	gabe	gêb	heb	- גֵּב	- from	  - '@src': H1461	  - '1461'	- ;	◊meaning:	- a	- def: log	- (as cut out); also	- def: well	- or	- def: cistern	- (as dug)	usage: beam, ditch, pit.																																
1357	n-m	gabe	gêb	heb	- גֵּב	- probably from	  - '@src': H1461	  - '1461'	- (compare	- w:	  - '@src': H1462	  - '1462'	- );	◊meaning:	- a	- def: locust	- (from its cutting)	usage: locust.																																
1358	n-m	gobe	gôb	arc	- גֹּב	- (Aramaic) from a root corresponding to	  - '@src': H1461	  - '1461'	- ;	◊meaning:	- a	- def: pit	- (for wild animals) (as cut out)	usage: den.																																				
1359	n-pr-loc	gobe	Gôb	x-pn	- גֹּב	- or (fully)	  - '@pron': gobe'	  - '@xlit': Gôwb	  - גּוֹב	- ; from	- w:	  - '@src': H1461	  - '1461'	- ; pit;	◊meaning:	- def: Gob	- ', a place in Palestine'	usage: Gob.																																
1360	n-m	geh'-beh	gebeʼ	heb	- גֶּבֶא	note: xlit gebe corrected to gebeʼ		source:	- from an unused root ◊meaning probably to	- def: collect	- ;	◊meaning:	- a	- def: reservoir	- ; by analogy, a	- def: marsh	usage: marish, pit.																																	
1361	v	gaw-bah'	gâbahh	heb	- גָּבַהּ	a primitive root;		◊meaning:	- to	- def: soar	- ', i.e.'	- def: be lofty	- ; figuratively, to	- def: be haughty	usage: exalt, be haughty, be (make) high(-er), lift up, mount up, be proud, raise	  up great height, upward.																																		
1362	a	gaw-bawh'	gâbâhh	heb	- גָּבָהּ	- from	  - '@src': H1361	  - '1361'	- ;	◊meaning:	- def: lofty	- (literally or figuratively)	usage: high, proud.																																					
1363	n-m	go'-bah	gôbahh	heb	- גֹּבַהּ	- from	  - '@src': H1361	  - '1361'	- ;	◊meaning:	- def: elation	- ','	- def: grandeur	- ','	- def: arrogance	usage: excellency, haughty, height, high, loftiness, pride.																																		
1364	a	gaw-bo'-ah	gâbôahh	heb	- גָּבֹהַּ	- or	  - '@pron': gawbo'-ah	  - '@xlit': gâbôwahh	  - גָּבוֹהַּ	- ; (fully) from	- w:	  - '@src': H1361	  - '1361'	- ;	◊meaning:	- def: elevated	- (or elated),	- def: powerful	- ','	- def: arrogant	usage: haughty, height, high(-er), lofty, proud, × exceeding proudly.																													
1365	n-m	gab-hooth'	gabhûwth	heb	- גַּבְהוּת	- from	  - '@src': H1361	  - '1361'	- ;	◊meaning:	  def: pride	usage: loftiness, lofty.																																						
1366	n-m	gheb-ool'	gᵉbûwl	heb	- גְּבוּל	- or	  - '@pron': gheb-ool'	  - '@xlit': gᵉbul	  - גְּבֻל	- ; (shortened) from	- w:	  - '@src': H1379	  - '1379'	- ;	◊meaning:	- properly, a	- def: cord	- (as	- def: twisted	- ), i.e. (by implication) a	- def: boundary	- ; by extension the	- def: territory	- inclosed	usage: border, bound, coast, × great, landmark, limit, quarter, space.																									
1367	n-f	gheb-oo-law'	gᵉbûwlâh	heb	- גְּבוּלָה	- or	  - '@pron': gheb-oo-law'	  - '@xlit': gᵉbulâh	  - גְּבֻלָה	- ; (shortened) feminine of	- w:	  - '@src': H1366	  - '1366'	- ;	◊meaning:	- a	- def: boundary	- ','	- def: region	usage: border, bound, coast, landmark. place.																														
1368	a	ghib-bore'	gibbôwr	heb	- גִּבּוֹר	- or	  - '@pron': ghibbore'	  - '@xlit': gibbôr	  - גִּבֹּר	- ; (shortened) intensive from the same as	- w:	  - '@src': H1397	  - '1397'	- ;	◊meaning:	- def: powerful	- ; by implication,	- def: warrior	- ','	- def: tyrant	usage: champion, chief, × excel, giant, man, mighty (man, one), strong (man),	  valiant man.																												
1369	n-f	gheb-oo-raw'	gᵉbûwrâh	heb	- גְּבוּרָה	- feminine passive participle from the same as	  - '@src': H1368	  - '1368'	- ;	◊meaning:	- def: force	- (literally or figuratively); by implication,	- def: valor	- ','	- def: victory	usage: force, mastery, might, mighty (act, power), power, strength.																																		
1370	n-f	gheb-oo-raw'	gᵉbûwrâh	arc	- גְּבוּרָה	- (Aramaic) corresponding to	  - '@src': H1369	  - '1369'	- ;	◊meaning:	  def: power	usage: might.																																						
1371	a	ghib-bay'-akh	gibbêach	heb	- גִּבֵּחַ	- from an unused root ◊meaning to	- (in the forehead);	◊meaning:	- def: bald	- in the forehead	usage: forehead bald.																																							
1372	n-f	gab-bakh'-ath	gabbachath	heb	- גַּבַּחַת	- from the same as	  - '@src': H1371	  - '1371'	- ;	◊meaning:	- def: baldness	- in the forehead; by analogy, a	- def: bare spot	- on the right side of cloth	usage: bald forehead, × without.																																			
1373	n-pr-m	gab-bah'ee	Gabbay	x-pn	- גַּבַּי	- from the same as	  - '@src': H1354	  - '1354'	- ; collective	◊meaning:	- def: Gabbai	- ', an Israelite'	usage: Gabbai.																																					
1374	n-pr-loc	gay-beem'	Gêbîym	x-pn	- גֵּבִים	- plural of	  - '@src': H1356	  - '1356'	- ;	- def: cisterns	- ;	◊meaning:	- def: Gebim	- ', a place in Palestine'	usage: Gebim.																																			
1375	n-m	gheb-ee'-ah	gᵉbîyaʻ	heb	- גְּבִיעַ	from an unused root (◊meaning to be convex);		◊meaning:	- a	- def: goblet	- ; by analogy, the	- def: calyx	- of a flower	usage: house, cup, pot.																																				
1376	n-m	gheb-eer'	gᵉbîyr	heb	- גְּבִיר	- from	  - '@src': H1396	  - '1396'	- ;	◊meaning:	- a	- def: master	usage: lord.																																					
1377	n-f	gheb-ee-raw'	gᵉbîyrâh	heb	- גְּבִירָה	- feminine of	  - '@src': H1376	  - '1376'	- ;	◊meaning:	- a	- def: mistress	usage: queen.																																					
1378	n-m	gaw-beesh'	gâbîysh	heb	- גָּבִישׁ	from an unused root (probably ◊meaning to freeze);		◊meaning:	- def: crystal	- (from its resemblance to ice)	usage: pearl.																																							
1379	v	gaw-bal'	gâbal	heb	- גָּבַל	- a primitive root; also as a denominative from	  - '@src': H1366	  - '1366'	◊meaning:	- properly, to	- def: twist	- as a rope; to	- def: bound	- (as by a line)	usage: be border, set (bounds about).																																			
1380	n-pr-loc	gheb-al'	Gᵉbal	x-pn	- גְּבַל	- from	  - '@src': H1379	  - '1379'	- (in the sense of a chain of hills); a mountain;	◊meaning:	- def: Gebal	- ', a place in Phoenicia'	usage: Gebal.																																					
1381	n-pr-loc	gheb-awl'	Gᵉbâl	x-pn	- גְּבָל	- the same as	  - '@src': H1380	  - '1380'	- ;	◊meaning:	- def: Gebal	- ', a region in Idumaea'	usage: Gebal.																																					
1382	a	ghib-lee'	Giblîy	x-pn	- גִּבְלִי	- ; patrial from	  - '@src': H1380	  - '1380'	- ;	◊meaning:	- a	- def: Gebalite	- ', or inhabitant of Gebal'	usage: Giblites, stone-squarer.																																				
1383	n-f	gab-looth'	gabluth	heb	- גַּבְלֻת	- from	  - '@src': H1379	  - '1379'	- ;	◊meaning:	- a twisted	- def: chain	- or	- def: lace	usage: end.																																			
1384	a	gib-bane'	gibbên	heb	- גִּבֵּן	from an unused root ◊meaning to be arched or contracted;		◊meaning:	  def: hunch-backed	usage: crookbackt.																																								
1385	n-f	gheb-ee-naw'	gᵉbinâh	heb	- גְּבִנָה	- feminine from the same as	  - '@src': H1384	  - '1384'	- ;	◊meaning:	  def: curdled milk	usage: cheese.																																						
1386	n-m	gab-nohn'	gabnôn	heb	- גַּבְנֹן	- from the same as	  - '@src': H1384	  - '1384'	- ;	◊meaning:	- a	- def: hump	- or	- def: peak of hills	usage: high.																																			
1387	n-pr-loc	gheh'-bah	Gebaʻ	x-pn	- גֶּבַע	- from the same as	  - '@src': H1375	  - '1375'	- ', a'	- def: hillock	- ;	◊meaning:	- def: Geba	- ', a place in Palestine'	usage: Gaba, Geba, Gibeah.																																			
1388	n-pr-m	ghib-aw'	Gibʻâʼ	x-pn	- גִּבְעָא	- by permutation for	  - '@src': H1389	  - '1389'	- ; a hill;	◊meaning:	- def: Giba	- ', a place in Palestine'	usage: Gibeah.																																					
1389	n-f	ghib-aw'	gibʻâh	heb	- גִּבְעָה	- feminine from the same as	  - '@src': H1387	  - '1387'	- ;	◊meaning:	- a	- def: hillock	usage: hill, little hill.																																					
1390	n-pr-loc	ghib-aw'	Gibʻâh	x-pn	- גִּבְעָה	- the same as	  - '@src': H1389	  - '1389'	- ;	◊meaning:	- def: Gibah	- ; the name of three places in Palestine	usage: Gibeah, the hill.																																					
1391	n-pr-loc	ghib-ohn'	Gibʻôwn	x-pn	- גִּבְעוֹן	- from the same as	  - '@src': H1387	  - '1387'	- ;	- def: hilly	- ;	◊meaning:	- def: Gibon	- ', a place in Palestine'	usage: Gibeon.																																			
1392	n-m	ghib-ole'	gibʻôl	heb	- גִּבְעֹל	- prolonged from	  - '@src': H1375	  - '1375'	- ;	◊meaning:	- the	- def: calyx of a flower	usage: bolled.																																					
1393	a	ghib-o-nee'	Gibʻônîy	x-pn	- גִּבְעֹנִי	- patrial from	  - '@src': H1391	  - '1391'	- ;	◊meaning:	- a	- def: Gibonite	- ', or inhabitant of Gibon'	usage: Gibeonite.																																				
1394	n-pr-loc	ghib-ath'	Gibʻath	x-pn	- גִּבְעַת	- from the same as	  - '@src': H1375	  - '1375'	- ;	- def: hilliness	- ;	◊meaning:	  def: Gibath	usage: Gibeath.																																				
1395	a	ghib-aw-thee'	Gibʻâthîy	x-pn	- גִּבְעָתִי	- patrial from	  - '@src': H1390	  - '1390'	- ;	◊meaning:	- a	- def: Gibathite	- ', or inhabitant of Gibath'	usage: Gibeathite.																																				
